title_kor,voter_count,average,star_1,star_2,star_3,star_4,star_5
"3학년 Z반 긴파치 선생",1,5.00,0,0,0,0,1
"Let's Play 퀘스트 투성이의 마이 라이프",8,3.88,0,0,3,3,2
"SANDA",25,4.76,0,0,0,6,19
"SI-VIS: The Sound of Heroes",5,4.00,0,0,2,1,2
"가치아쿠타",4,5.00,0,0,0,0,4
"결혼반지 이야기",24,4.96,0,0,0,1,23
"과학×모험 서바이벌!",5,4.80,0,0,0,1,4
"기계 인간 마리",13,4.85,0,0,0,2,11
"나를 먹고 싶은, 괴물",19,4.37,0,1,1,7,10
"나의 히어로 아카데미아",8,3.63,2,0,0,3,3
"너와 아이돌 프리큐어♪",3,4.33,0,0,1,0,2
"도원암귀",3,4.67,0,0,0,1,2
"둘이서 솔로 캠프",5,4.00,1,0,0,1,3
"디지몬 비트브레이크",3,3.67,0,0,2,0,1
"란마1_slash_2",16,4.56,0,0,3,1,12
"마지막으로 하나만 부탁드려도 될까요",32,4.69,0,0,2,6,24
"무직의 영웅 ~스킬 따위는 별로 필요하지 않았다만~",20,4.45,0,1,0,8,11
"믿었던 동료들에게 던전 오지에서 살해당할 뻔했지만 기프트 『무한 가챠』로 레벨 9999의 동료들을 손에 넣어 전 파티 멤버와 세계에 복수& 『참교육!』합니다!",31,4.45,1,0,1,11,18
"불멸의 그대에게",2,5.00,0,0,0,0,2
"사바케",11,4.27,0,0,3,2,6
"서투른 선배",19,4.32,0,0,3,7,9
"소재 채취가의 이세계 여행기",9,4.78,0,0,0,2,7
"스파이 패밀리",21,4.90,0,0,0,2,19
"아군이 너무 약해 보조 마법으로 일관하던 궁정 마법사, 추방당해서 최강을 노린다",9,3.89,1,0,2,2,4
"아르마 짱은 가족이 되고 싶어",15,4.87,0,0,0,2,13
"아빠는 영웅, 엄마는 정령, 딸인 나는 전생자_dot_",12,4.92,0,0,0,1,11
"악식 영애와 광혈 공작 ~그 마물, 제가 맛있게 먹겠습니다!~",14,4.21,0,0,2,7,5
"야노 군의 평범한 나날",8,4.88,0,0,0,1,7
"야생의 라스트 보스가 나타났다!",21,4.62,0,0,1,6,14
"얼굴에 드러나지 않는 카시와다 양과 얼굴에 드러나는 오오타 군",20,4.65,0,0,0,7,13
"영원한 황혼",26,4.96,0,0,0,1,25
"와타리 군의 XX가 붕괴 직전",26,4.12,0,1,3,14,8
"우마무스메: 신데렐라 그레이",12,4.67,0,1,0,1,10
"제대로 빨지 못하는 흡혈귀 짱",1,1.00,1,0,0,0,0
"짱구아빠 노하라 히로시의 점심",36,4.44,2,0,1,10,23
"친구 여동생이 나한테만 짜증나게 군다",18,4.28,0,0,4,5,9
"카쿠리요의 여관밥",7,2.71,1,2,3,0,1
"킹덤",1,5.00,0,0,0,0,1
"태양보다 눈부신 별",18,4.17,0,0,5,5,8
"토지마 탄자부로는 가면라이더가 되고 싶어",25,5.00,0,0,0,0,25
"푸른 오케스트라",1,3.00,0,0,1,0,0
"프린세션 오케스트라",3,5.00,0,0,0,0,3
